factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,longitud_cola,probabilidad_media,desvio_estandar,semiancho_ic95,teoria,error_porcentual,estado_teorico
0.25,2.5,10.0,0.25,infinita,M/M/1,0,0.9379649024011562,0.0011527302460425913,0.0008245562524100123,0.9375,0.049589589456656334,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,1,0.04655220138698997,0.000934728009576867,0.000668617681582803,0.046875,-0.6886370410880657,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,2,0.011513918747859906,0.00022197009495833323,0.0001587768086022576,0.01171875,-1.7478933515954715,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,3,0.002888995147364941,0.00025278524137549934,0.00018081910491089934,0.0029296875,-1.3889656366100105,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,4,0.0008230606881262211,0.00019555196530561905,0.0001398797300733413,0.000732421875,12.37521928550005,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,5,0.0002028024712999888,8.274690234228501e-05,5.918945558002721e-05,0.00018310546875,10.757189659300556,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,6,4.433027258599481e-05,1.852584782990261e-05,1.3251672463514286e-05,4.57763671875e-05,-3.1590418601414725,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,7,9.316021832289891e-06,1.6589515219531653e-05,1.1866599792689458e-05,1.1444091796875e-05,-18.59535909320663,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,8,4.7286278460205715e-07,1.4518921052940448e-06,1.038548886311349e-06,2.86102294921875e-06,-83.47224775910378,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,9,0.0,0.0,0.0,7.152557373046875e-07,-100.0,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,10,0.0,0.0,0.0,1.7881393432617188e-07,-100.0,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,11,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,12,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,13,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,14,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,15,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,16,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,17,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,18,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,19,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,20,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,infinita,M/M/1,>20,0.0,0.0,0.0,,,capacidad_infinita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,0,1.0,0.0,0.0,1.0,0.0,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,1,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,2,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,3,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,4,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,5,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,6,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,7,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,8,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,9,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,10,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,11,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,12,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,13,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,14,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,15,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,16,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,17,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,18,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,19,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,20,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,0,M/M/1/K,>20,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,0,0.94101445287898,0.0014664989678307198,0.0010489972803515485,0.9411764705882353,-0.01721438160837349,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,1,0.04700450537109907,0.0009639828473337513,0.0006895438778620219,0.047058823529411764,-0.1154260864144746,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,2,0.011981041749920922,0.0006752599642661894,0.0004830183188559065,0.011764705882352941,1.8388548743278368,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,3,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,4,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,5,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,6,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,7,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,8,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,9,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,10,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,11,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
0.25,2.5,10.0,0.25,2,M/M/1/K,12,0.0,0.0,0.0,,,capacidad_finita_regimen_estacionario
