semilla,tasa_arribo,tasa_servicio,rho,tiempo_simulacion,capacidad_cola,clientes_generados,clientes_aceptados,clientes_rechazados,clientes_atendidos,promedio_clientes_sistema,promedio_clientes_cola,tiempo_promedio_sistema,tiempo_promedio_cola,utilizacion_servidor,probabilidad_denegacion,factor_arribo,modelo_cola,replica,estado_teorico
20260626,2.5,10.0,0.25,10000.0,infinita,24817,24817,0,24817,0.3295617506169972,0.08003108145814197,0.1327967726223948,0.032248491541339394,0.24953066915885525,0.0,0.25,M/M/1,0,capacidad_infinita_regimen_estacionario
20260627,2.5,10.0,0.25,10000.0,infinita,24801,24801,0,24801,0.3283612647389345,0.0812935560801579,0.1323983971367826,0.032778338002563565,0.2470677086587766,0.0,0.25,M/M/1,1,capacidad_infinita_regimen_estacionario
20260628,2.5,10.0,0.25,10000.0,infinita,25158,25158,0,25158,0.334642430378865,0.08303214982751894,0.13301630907817194,0.03300427292611453,0.25161028055134604,0.0,0.25,M/M/1,2,capacidad_infinita_regimen_estacionario
20260629,2.5,10.0,0.25,10000.0,infinita,25334,25334,0,25334,0.33271885194935913,0.08294050440659642,0.13133293279756814,0.03273881124441321,0.24977834754276274,0.0,0.25,M/M/1,3,capacidad_infinita_regimen_estacionario
20260630,2.5,10.0,0.25,10000.0,infinita,24828,24828,0,24828,0.32731363391418133,0.07931789146457341,0.13183246089664144,0.031946951612926294,0.24799574244960795,0.0,0.25,M/M/1,4,capacidad_infinita_regimen_estacionario
20260631,2.5,10.0,0.25,10000.0,infinita,25094,25094,0,25093,0.3344176949444162,0.08429502973402536,0.13326911818781415,0.03359304576337041,0.25012266521039084,0.0,0.25,M/M/1,5,capacidad_infinita_regimen_estacionario
20260632,2.5,10.0,0.25,10000.0,infinita,25257,25257,0,25256,0.3369457500265785,0.08453309225857511,0.1334102894633729,0.03347049899373421,0.25241265776800337,0.0,0.25,M/M/1,6,capacidad_infinita_regimen_estacionario
20260633,2.5,10.0,0.25,10000.0,infinita,25101,25101,0,25101,0.33446860673143763,0.08306644615939346,0.13324911626287306,0.03309288321556649,0.2514021605720442,0.0,0.25,M/M/1,7,capacidad_infinita_regimen_estacionario
20260634,2.5,10.0,0.25,10000.0,infinita,25298,25298,0,25298,0.3378566674607153,0.08647234574016277,0.13355074213800114,0.03418149487712972,0.25138432172055253,0.0,0.25,M/M/1,8,capacidad_infinita_regimen_estacionario
20260635,2.5,10.0,0.25,10000.0,infinita,24995,24995,0,24995,0.33576843507825943,0.08390046411513717,0.13433424087947968,0.03356689902586004,0.2518679709631222,0.0,0.25,M/M/1,9,capacidad_infinita_regimen_estacionario
