factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,tiempo_simulacion,replicas,estado_teorico,metrica,media,desvio_estandar,semiancho_ic95,teoria,error_porcentual
0.25,2.5,10.0,0.25,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,promedio_clientes_sistema,0.3332055085839744,0.003636474581921427,0.0026011964755391784,0.3333333333333333,-0.03834742480767206
0.25,2.5,10.0,0.25,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,promedio_clientes_cola,0.08288825612442825,0.002161891336704687,0.0015464164533122045,0.08333333333333333,-0.534092650686091
0.25,2.5,10.0,0.25,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,tiempo_promedio_sistema,0.13291903794631,0.0008734695831521909,0.0006247990876882875,0.13333333333333333,-0.31072154026750426
0.25,2.5,10.0,0.25,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,tiempo_promedio_cola,0.033062168720301786,0.0006709365559228655,0.00047992575371029,0.03333333333333333,-0.8134938390946395
0.25,2.5,10.0,0.25,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,utilizacion_servidor,0.25031725245954617,0.0017536937204316349,0.0012544297566220476,0.25,0.1269009838184676
0.25,2.5,10.0,0.25,infinita,M/M/1,10000.0,10,capacidad_infinita_regimen_estacionario,probabilidad_denegacion,0.0,0.0,0.0,0.0,0.0
0.25,2.5,10.0,0.25,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.19938457702611384,0.0018916885771393186,0.0013531384721167394,0.2,-0.30771148694308526
0.25,2.5,10.0,0.25,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.0,0.0,0.0,0.0,0.0
0.25,2.5,10.0,0.25,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.0998861885871435,0.0010626826777627727,0.0007601445778709384,0.1,-0.11381141285650431
0.25,2.5,10.0,0.25,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.0,0.0,0.0,0.0,0.0
0.25,2.5,10.0,0.25,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.19938457702611384,0.0018916885771393186,0.0013531384721167394,0.19999999999999996,-0.30771148694305755
0.25,2.5,10.0,0.25,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.19936427751854585,0.0026381113306764973,0.0018870600469891993,0.2,-0.3178612407270798
0.25,2.5,10.0,0.25,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,0.31826137740063104,0.0032957730610913252,0.0023574902223455056,0.3176470588235294,0.1933965890875555
