semilla,tasa_arribo,tasa_servicio,capacidad_cola,longitud_cola,probabilidad
20260626,7.5,10.0,infinita,0,0.5152785827782813
20260626,7.5,10.0,infinita,1,0.1477677707052166
20260626,7.5,10.0,infinita,2,0.09880659689604628
20260626,7.5,10.0,infinita,3,0.07373761881921359
20260626,7.5,10.0,infinita,4,0.059228916967723554
20260626,7.5,10.0,infinita,5,0.03875387981277553
20260626,7.5,10.0,infinita,6,0.032266319365499674
20260626,7.5,10.0,infinita,7,0.01690244069821862
20260626,7.5,10.0,infinita,8,0.007264660522555318
20260626,7.5,10.0,infinita,9,0.002508704344129704
20260626,7.5,10.0,infinita,10,0.002369295823487363
20260626,7.5,10.0,infinita,11,0.004419737700551778
20260626,7.5,10.0,infinita,12,0.0006954755663007361
